song_title,lyrics
Love Me Do,"Love, love me do,
You know I love you.
I'll always be true,
So please love me do, wo-oh
Love me do.
Love, love me do,
You know I love you.
I'll always be true,
So please love me do, wo-oh
Love me do.
Someone to love, somebody new.
Someone to love, someone like you.
Love, love me do,
You know I love you.
I'll always be true,
So please love me do, wo-oh
Love me do.
Love, love me do,
You know I love you.
I'll always be true,
So please love me do, wo-oh
Love me do.
Yeh, love me do.
Wo, love me do.
Yeh, love me do."
Please Please Me,"Last night I said these words to my girl.
I know you never even try girl.
Come on, come on, come on, come on,
Come on, come on, come on, come on,
Please please me, wow-yeah, like I please you.
You don't need me to show the way, love.
Why do I always have to say, love?
Come on, come on, come on, come on,
Come on, come on, come on, come on,
Please please me, wow-yeah, like I please you.
I don't wanna sound complaining,
but you know there's always rain in my heart.
I do all the pleasing with you,
It's so hard to reason with you.
Oh yeah, why do you make me blue?
Last night I said these words to my girl.
I know you never even tried girl.
Come on, come on, come on, come on,
Come on, come on, come on, come on,
Please please me, wow-yeah, like I please you.
Please me, wow-yeah, like I please you.
Please me, wow-yeah, like I please you."
From Me To You,"If there's anything that you want,
If there's anything I can do,
Just call on me and I'll send it along
With love from me to you.
I've got everything that you want,
Like a heart that is oh, so true.
Just call on me and I'll send it along
With love from me to you.
I got arms that long to hold you
And keep you by my side.
I got lips that long to kiss you
And keep you satisfied, oooh.
If there's anything that you want,
If there's anything I can do,
Just call on me and I'll send it along
With love from me to you.
>From me, to you.
Just call on me and I'll send it along
With love from me to you.
I got arms that long to hold you
And keep you by my side.
I got lips that long to kiss you
And keep you satisfied, oooh.
If there's anything that you want,
If there's anything I can do,
Just call on me and I'll send it along
With love from me to you.
To you, to you, to you."
She Loves You,"She loves you, yeah, yeah, yeah,
She loves you, yeah, yeah, yeah.
She loves you, yeah, yeah, yeah, yeah.
You think you've lost your love,
Well I saw her yesterday.
It's you she's thinking of
And she told me what to say.
She says she love you,
And you know that can't be bad.
Yes, she loves you,
And you know you should be glad.
She said you hurt her so,
She almost lost her mind.
But now she says she knows
You're not the hurting kind.
She says she love you,
And you know that can't be bad.
Yes, she loves you,
And you know you should be glad, oooh.
She loves you, yeah, yeah, yeah,
She loves you, yeah, yeah, yeah.
And with a love like that
You know you should be glad.
You know it's up to you,
I think it's only fair.
Pride can hurt you too,
Apologise to her.
Because she loves you
And you know that can't be bad.
Yes, she loves you,
And you know you should be glad, oooh.
She loves you, yeah, yeah, yeah,
She loves you, yeah, yeah, yeah.
With a love like that
You know you should be glad.
With a love like that
You know you should be glad.
With a love like that
You know you should be glad.
Yeh, yeah, yeah.
Yeh, yeah, yeah, yeah."
All My Loving (2.06),"Close your eyes and I'll kiss you,
Tomorrow I'll miss you.
Remember I'll always be true.
And then while I'm away
I'll write home everyday,
And I'll send all my lovin' to you.
I'll pretend that I'm kissing
The lips I am missing,
And hope that my dreams will come true.
And then while I'm away
I'll write home everyday,
And I'll send all my lovin' to you.
All my lovin', I will send to you.
All my lovin', darling I'll be true.
Close your eyes and I'll kiss you,
Tomorrow I'll miss you.
Remember I'll always be true.
And then while I'm away
I'll write home everyday,
And I'll send all my lovin' to you.
All my lovin', I will send to you.
All my lovin', darling I'll be true.
All my lovin', all my lovin', oooh.
All my lovin' I will send to you."
I Want To Hold You Hand,"Oh yeah, I'll tell you something,
I think you'll understand.
When I say that something,
I wanna hold your hand,
I wanna hold your hand,
I wanna hold your hand.
Oh please say to me
and let me be your man.
And please say to me
you'll let me hold your hand,
now let me hold your hand,
I wanna hold your hand.
And when I touch you
I feel happy inside.
It's such a feeling
that my love I can't hide,
I can't hide, I can't hide.
Yeh, you got that something,
I think you'll understand,
when I feel that something's
I wanna hold your hand,
I wanna hold your hand,
I wanna hold your hand.
And when I touch you
I feel happy inside.
It's such a feeling
that my love I can't hide,
I can't hide, I can't hide.
Yeh, you got that something,
I think you'll understand,
when I feel that something,
I wanna hold your hand,
I wanna hold your hand,
I wanna hold your hand,
I wanna hold your hand."
Can't Buy Me Love,"Can't buy me love, oh, love, oh.
Can't buy me love, oh.
I'll buy you a diamond ring my friend
If it makes you feel alright.
I'll give t'ou anything my friend
If it makes you feel alright.
For I don't care too much for money,
For money can't buy me love.
I'll give you all I've got to give
If you say you love me too.
I may not have a lot to give,
But what I've got I'll give to you.
I don't care too much for money,
For money can't buy me love.
Can't buy me love, oh, everybody tells me so.
Can't buy me love, oh, no, no, no, no.
Say you don't need no diamond rings
And I'll be satisfied.
Tell me that you want the kind of things
That money just can't buy.
I don't care too much for money,
money can't buy me love.
Can't buy me love, everybody tells me so.
Can't buy me love, no, no, no, no.
Say you don't need no diamond rings
And I'll be satisfied.
Tell me that you want the kind of things
That money just can't buy.
I don't care too much for money,
money can't buy me love.
Can't buy me love, oh, love, oh,
Can't buy me love, oh, oh."
A Hard Day's Night,"It's been a hard day's night
And I've been working like a dog.
It's been a hard day's night,
I should be sleeping like a log.
But when I get home to you,
I find the things that you do
Will make me feel alright.
You know I work all day
To get you money to buy you things.
And it's worth it just to here you say,
You're gonna give me everything.
So why on earth should I moan,
'Cos when I get you alone
You know I feel okay.
When I'm home everything seems to be right.
When I'm home feeling you holding me tight, tight, yeah.
It's been a hard day's night
And I've been working like a dog.
It's been a hard day's night,
I should be sleeping like a log.
But when I get home to you,
I find the things that you do
Will make me feel alright.
So why on earth should I moan,
'Cos when I get you alone
You know I feel okay.
When I'm home everything seems to be right.
When I'm home feeling you holding me tight, tight, yeah.
It's been a hard day's night
And I've been working like a dog.
It's been a hard day's night,
I should be sleeping like a log.
But when I get home to you,
I find the things that you do
Will make me feel alright.
You know I feel alright,
You know I feel alright."
I Feel Fine,"Baby's good to me, you know,
She's happy as can be, you know,
She said so.
I'm in love with her and I feel fine.
Baby says she's mine, you know,
She tells me all the time, you know,
She said so.
I'm in love with her and I feel fine.
I'm so glad that she's my little girl.
She's so glad, she's telling all the world
That here baby buys her things, you know.
He buys her diamond rings, you know,
She said so.
She's in love with me and I feel fine, mmm.
Baby says she's mine, you know,
She tells me all the time, you know,
She said so.
I'm in love with her and I feel fine.
I'm so glad that she's my little girl.
She's so glad, she's telling all the world
That her baby buys her things, you know.
He buys her diamond rings, you know,
She said so.
She's in love with me and I feel fine, mmm, mmm."
Ticket To Ride,"I think I'm gonna be sad,
I think it's today, yeah.
The girl that's driving me mad
Is going away.
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.
She said that living with me
Is bringing her down yeah.
For she would never be free
When I was around.
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.
I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me.
I think I'm gonna be sad,
I think it's today yeah.
The girl that's driving me mad
Is going away, yeah.
She's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.
I don't know why she's ridin' so high,
She ought to think twice,
She ought to do right by me.
Before she gets to saying goodbye,
She ought to think twice,
She ought to do right by me.
She said that living with me,
Is bringing her down, yeah.
For she would never be free
When I was around.
Ah, she's got a ticket to ride,
She's got a ticket to ride,
She's got a ticket to ride,
But she don't care.
My baby don't care, my baby don't care.
My baby don't care, my baby don't care.
My baby don't care, my baby don't care."
