song_title,lyrics
Chicago (CSNY),"Though your brother's bound and gagged And they've chained him to a chair Won't you please come to Chicago Just to sing In a land that's known as freedom How can such a thing be fair Won't you please come to Chicago For the help that we can bring We can change the world Re-arrange the world It's dying ... to get better Politicians sit yourself down There's nothing for you here Won't you please come to Chicago For a ride Don't ask Jack to help you 'Cause he'll turn the other ear Won't you please come to Chicago Or else join the other side We can change the world Re-arrange the world It's dying ... if you believe in justice It's dying ... and if you believe in freedom It's dying ... let a man live his own life It's dying ... rules and regulations, who needs them Throw 'em out the door Somehow people must be free I hope the day comes soon Won't you please come to Chicago Show your face From the bottom of the ocean To the mountains on the moon Won't you please come to Chicago No one else can take your place"
Find the Cost of Freedom,Find the cost of freedom Buried in the ground Mother Earth will swallow you Lay your body down Find the cost of freedom Buried in the ground Mother Earth will swallow you Lay your body down
King Midas in Reverse,If you could only see me And know exactly who I am You wouldn't want to be me Oh I can assure you of that I'm not the guy to run with 'Cause I'll throw you off the line I'll break you and destroy you Given time He's King Midas with a curse He's King Midas in reverse He's King Midas with a curse He's King Midas in reverse It's plain to see it's hopeless Going on that way we are So even though I lose you You'd be better of by far He's not the one to hold your trust Everything around him turns to dust in his hand Nothing he can do is right He'd even like to sleep at night But he can't He's King Midas with a curse He's King Midas in reverse He's King Midas with a curse He's King Midas in reverse I wish someone would find me And help me gain control Before I lose my reason and my soul He's King Midas with a curse He's King Midas in reverse He's King Midas with a curse He's King Midas in reverse
Medley,"He's a perfect stranger Like a cross of himself and a fox He's a feeling arranger And a changer of the ways he talks He's the unforeseen danger The keeper of the key to the locks Know when you see him Nothing can free him Step aside, open wide It's the loner If you see him in the subway He'll be down at the end of the car Watching you move Until he knows, he knows who you are When you get off at your station alone He'll know that you are Know when you see him Nothing can free him Step aside, open wide I wanna live with a cinnamon girl I could be happy The rest of my life With a cinnamon girl A dreamer of pictures I run in the night You see us together Chasing the moonlight My cinnamon girl Ten silver saxes A bass with a bow The drummer relaxes And waits between shows For his cinnamon girl A dreamer of pictures I run in the night You see us together Chasing the moonlight My cinnamon girl Be on my side I'll be on your side There is no reason for you to hide It's so hard for me Staying here all alone When you could be taking me For a ride She could drag me Over the rainbow Send me away Down by the river I shot my baby Down by the river Dead You take my hand I'll take your hand Together we may get away This much madness is Too much sorrow It's impossible to make it today She could drag me Over the rainbow Send me away Down by the river I shot my baby Down by the river Dead Be on my side I'll be on your side There is no reason for you to hide It's so hard for me Staying here all alone When you could be taking me For a ride"
Ohio (CSNY),"Tin soldiers and Nixon's comin' We're finally on our own This summer I hear the drummin' Four dead in Ohio Gotta get down to it Soldiers are gunning us down Should have been done long ago What if you knew her and Found her dead on the ground? How can you run when you know? Na, na, na, na, na, na, na, na, na Na, na, na, na, na, na, na, na Na, na, na, na, na, na, na, na, na Na, na, na, na, na, na, na, na Gotta get down to it Soldiers are gunning us down Should have been done long ago What if you knew her and Found her dead on the ground? How can you run when you know? Tin soldiers and Nixon's comin' We're finally on our own This summer I hear the drummin' Four dead in Ohio Four dead in Ohio (Whoa!) Four dead in Ohio (four) Four dead in Ohio (Ah!) Four dead in Ohio (How many more?) Four dead in Ohio (What?) Four dead in Ohio (Oh!) Four dead in Ohio (Oh!) Four dead in Ohio (What?) Four dead in Ohio (Ah) Four dead in Ohio"
Right Between the Eyes,"My head is hanging heavy with the thoughts of him in mind 'Tis sacrilege for us to take advantage of the blind So, tell before you come to me from out of yonder skies A man's a man who looks a man right between the eyes And the pain that we can bring to him I don't think he could beat Please don't ask me how I know I've just been up that street And all the people living there Have been silenced by their own lies A man's a man who looks a man right between the eyes And talking' from experience I know how he would feel Waking up and finding that his one love wasn't real But the age of truth will soon appear, Aquarius arrives A man's a man who looks a man right between the eyes"
A Letter Home Intro,"Hi mom! Hey, itâ€™s great to be able to talk to you Ah, I havenâ€™t been able to talk to you in really a long time and ah, my friend Jack has got this box that I can talk to you from So Iâ€™d like to be able to send you this message and tell you how much I love you and also tell you that I think you should start talking to daddy again. Since youâ€™re both there together thereâ€™s no reason not to talk And also, um, you know how we used to watch the weather all the time on TV, and we used to know what was happening, ah, you know up there in Winnipeg And ah, well I met this guy named Al and heâ€™s, um, heâ€™s the weatherman now for the whole planet If you can imagine that, and ah, heâ€™s uh, sometimeâ€™s not popular because, uh, this is very strange but, you know people turn on the weatherman When the weather is gonna be bad, they actually turn on the weatherman and uh, say bad things about him and put him down So, so uh, things havenâ€™t been that great lately, uh you know, day by day is real good, uh, you know most of the time but every once in a while all hell breaks loose, mom and the whole thing is just like nothing Iâ€™ve ever seen before and it, it seems to be happening everywhere So ah, you know if youâ€™re in there, everywhere all the time All around the whole globe, around earth So you know, even though Alâ€™s forecasts are good he gets in trouble So ah, you know I always know we used to watch the weather forecast together so I thought Iâ€™d tell you about that and ah, I miss you And I know that ah, I-I know that ah, you know Iâ€™d like you to say hello to Ben for me Ah and, tell him that you know that Iâ€™ll be around, ah, Iâ€™ll be there eventually. Ah, not for a while though, I still have a lot of work to do here And ah, and so I love you, and ah I hope everybodyâ€™s feeling good up there and donâ€™t forget to talk to daddy, bye!"
Changes,"Sit by my side, come as close as the air Share in a memory of gray And wander in my words Dream about the pictures that I play Of changes Green leaves of summer turn to red in the fall To brown and to yellow they fade And then they have to die Trapped within the circle time parade Of changes Scenes of my young years were warm in my mind Visions of shadows that shine One day I returned And found that they were victims of the vines Of changes The world's spinning madly, it drifts in the dark Swings through a hollow of haze A race around the stars A journey through the universe ablaze With changes Moments of magic will glow in the night Fears of the forest are all gone But when the morning breaks They're swept away by golden drops of dawn Of changes Passions will part to a strange melody As fires will sometimes burn cold Like petals in the wind We're puppets to the silver strings of souls Of changes Your tears will be trembling, now we're somewhere else One last cup of wine we will pour And I'll kiss you one more time And leave you on the rolling river shores Of changes"
Crazy,"Crazy, I'm crazy for feeling so lonely I'm crazy, crazy for feeling so blue I knew, you'd love me as long as you wanted And then someday, you'd leave me for somebody new Worry, why do I let myself worry? Wondering, what in the world did I do? Crazy, for thinking that my love could hold you I'm crazy for trying, I'm crazy for crying I'm crazy for loving you I'm crazy for crying, I'm crazy for trying I'm crazy for loving you"
Early Morning Rain,"In the early mornin' rain With a dollar in my hand And an achin' in my heart And my pockets full of sand I'm a long way from home And I miss my loved ones so In the early mornin' rain With no place to go Out on runway number nine Seven-o-seven set to go And I'm stuck here in the ground In the pain that ever grows And the liquor tasted good And the women all were fast Yeah, there she goes my friend She'll be rollin' down at last Hear the mighty engines roar See the silver wing on high She's away and westward bound Far above the clouds she'll fly Where the mornin' rain don't fall Where the sun always shines She'll be flyin' o'er my home In about three hours time This old airport's got me down It's no earthly good to me 'Cause I'm stuck here on the ground Cold and drunk as I can be You can't jump a jet plane Like you can a freight train So I'd best be on my way In the early mornin' rain"
