song_title,lyrics
Blew,"And if you wouldn't mind I would like to blew
And if you wouldn't mind I would like to lose
And if you wouldn't care I would like to leave
And if you wouldn't mind I would like to breathe
Is there another reason for your stain?
Could you believe who we knew stress or strain?
Here is another word that rhymes with shame
And if you wouldn't mind I would like to blew
And if you wouldn't mind I would like to lose
And if you wouldn't care I would like to leave
And if you wouldn't mind I would like to breathe
Is there another reason for your stain?
Could you believe who we knew stress or strain?
Here is another word that rhymes with shame
Is there another reason for your stain?
Could you believe who we knew stress or strain?
Here is another word that rhymes with shame
You could do anything
You could do anything
You could do anything
You could do anything
You could do anything
You could do anything
You could do anything
You could do anything"
Floyd The Barber,"Bell on door clangs, come on in
Floyd observes my hairy chin
Sit down chair, don't be afraid
Steamed hot towel on my face
I was shaved
I was shaved
I was shaved
Barney ties me to the chair
I can't see, I'm really scared
Floyd breathes hard, I hear a zip
Pee-pee pressed against my lips
I was shamed
I was shamed
I was shamed
I sense others in the room
Opie, Aunt Bee, I presume
They take turns and cut me up
I die smothered in Aunt Bee's muff
I was shamed
I was shamed
I was shamed"
About A Girl,"I need an easy friend
I do, with an ear to lend
I do think you fit this shoe
I do, but you have a clue
I'll take advantage while
You hang me out to dry
But I can't see you every night
Free (I do)
I'm standing in your line
I do hope you have the time
I do pick a number too
I do keep a date with you
I'll take advantage while
You hang me out to dry
But I can't see you every night
Free
I need an easy friend
I do, with an ear to lend
I do think you fit this shoe
I do, but you have a clue
I'll take advantage while
You hang me out to dry
But I can't see you every night
No, I can't see you every night
Free
I do
I do
I do
I do"
School,"Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
No recess
No recess
No recess
Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
Won't you believe it? It's just my luck
No recess
No recess
No recess
You're in high school again
You're in high school again
You're in high school again
You're in high school again
You're in high school again
You're in high school again
You're in high school again
You're in high school again
No recess
No recess
No recess
No recess
No recess
No recess
No recess"
Love Buzz,"Would you believe me when I tell you
You're the queen of my heart
Please don't deceive me when I hurt you
Just ain't the way it seems
Can you feel my love buzz?
Can you feel my love buzz?
Can you feel my love buzz?
Can you feel my love buzz?
Would you believe me when I tell you
You're the queen of my heart
Please don't deceive me when I hurt you
Just ain't the way it seems
Can you feel my love buzz?
Can you feel my love buzz?
Can you feel my love buzz?
Can you feel my love buzz?"
Paper Cuts,"At my feeding time
She'd push food through the door
I crawl towards the crack of light
Sometimes I can't find my way
Newspapers spread around
Soaking all that they can
A cleaning is due again
A good hosing down
The lady whom I feel maternal love for
Cannot look me in the eyes
But I see hers and they are blue
And they cock and twitch and masturbate
Why?
I said so
I said so
I said so
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Black windows of paint
I scratch with my nails
I see others just like me
Why do they not try to escape?
They bring out the older ones
They point at my way
They come with their flashing lights
And take my family away
And very later I have learned to
Accept some friends of ridicule
My whole existence is for your amusement
And that is why I'm here with you
To take
Me with
Your life
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana
Nirvana"
Negative Creep,"This is out of our reach
This is out of our reach
This is out of our reach and it's grown
This is getting to be
This is getting to be
This is getting to be drone
I'm a negative creep
I'm a negative creep
I'm a negative creep and I'm stoned
I'm a negative creep
I'm a negative creep
I'm a negative creep and I'm
I'm
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
This is out of our range
This is out of our range
This is out of our range and it's crude
This is getting to be
This is getting to be
This is getting to be like drone
I'm a negative creep
I'm a negative creep
I'm a negative creep and I'm stoned!
I'm a negative creep
I'm a negative creep
I'm a negative creep and I'm!
Aah!
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more!
Yeah!
Drone
Stoned
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more
Daddy's little girl ain't a girl no more"
Scoff,"In my eyes, I'm not lazy
In my face, it's not over
In your room, I'm not older
In your eyes, I'm not worth it
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my, gimme back my
Gimme back!
Heal a million
Kill a million
Heal a million
Kill a million
Heal a million
Kill a million
In my eyes, I'm not lazy
In my face, it's not over
In your room, I'm not older
In your eyes, I'm not worth it
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my, gimme back my
Gimme back!
Heal a million
Kill a million
Heal a million
Kill a million
Heal a million
Kill a million
Yeah!
In my eyes, I'm not lazy
In my face, it's not over
In your room, I'm not older
In your eyes, I'm not worth it
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my alcohol
Gimme back my, gimme back my
Gimme back
Kill a million
Kill a million
Kill a million
Kill a million
Kill a million
Kill a million
Aah!
Aah!"
Swap Meet,"They live a lifestyle that is comfortable
They travel far to keep their stomachs full
They make a living off of arts and crafts
The kind with seashells, driftwood and burlap
They make a deal when they would come to town
The Sunday swap meet is a battleground
She loves him more than he will ever know
He loves her more than he will ever show
Keeps his cigarettes close to his heart
Keeps her photographs close to her heart
Keeps the bitterness close to the heart
They live a lifestyle that is comfortable
They travel far to keep their stomachs full
They make a living off of arts and crafts
The kind with seashells, driftwood and burlap
They make a deal when they would come to town
The Sunday swap meet is a battleground
She loves it more than he will ever know
He loves her more than he will ever show
Keeps his cigarettes close to his heart
Keeps her photographs close to her heart
Keeps the bitterness close to the heart
They live a lifestyle that is comfortable
They travel far to keep their stomachs full
They make a living off of arts and crafts
The kind with seashells, driftwood and burlap
They make a deal when they would come to town
The Sunday swap meet is a battleground
She loves it more than she will ever know
He loves her more than he will ever show
Keeps his cigarettes close to his heart
Keeps her photographs close to her heart
Keeps the bitterness close to the heart"
Mr. Moustache,"Fill me in on your new vision
Wake me up with indecision
Help me trust your mighty wisdom
Yes, I eat cow, I am not proud
Show me how you question questions
Lead the way to my temptations
Take my hand and give it cleaning
Yes, I eat cow, I am not proud
Easy in an easy chair
Poop as hard as rock
I don't like you anyways
Seal it in a box
I'm new
I'm new
Fill me in on your new vision
Wake me up with indecision
Help me trust your mighty wisdom
Yes, I eat cow, I am not proud
Show me how you question questions
Lead the way to my temptation
Take my hand and give it cleaning
Yes, I eat cow, I am not proud
Easy in an easy chair
Poop as hard as rock
I don't like you anyways
Seal it in a box
I'm new
I'm new
I'm new
I'm new, ah!"
