song_title,lyrics
Cruel Summer," (yeah, yeah, yeah, yeah)   killing me slow, out the window i'm always waiting for you to be waiting below devils roll the dice, angels roll their eyes what doesn't kill me makes me want you more   hang your head low in the glow of the vending machine i'm not dying (oh yeah, you're right, i want it) we say that we'll just screw it up in these trying times we're not trying (oh yeah, you're right, i want it) see taylor swift liveget tickets as low as $6you might also like it's new, the shape of your body it's blue, the feeling i've got and it's ooh, woah-oh it's a cruel summer it's cool, that's what i tell 'em no rules in breakable heaven but ooh, woah-oh it's a cruel summer with you   it's new, the shape of your body it's blue, the feeling i've got and it's ooh, woah-oh it's a cruel summer it's cool, that's what i tell 'em no rules in breakable heaven but ooh, woah-oh it's a cruel summer with you  [outro] i'm drunk in the back of the car and i cried like a baby comin' home from the bar (oh) said, ""i'm fine,"" but it wasn't true i don't wanna keep secrets just to keep you and i snuck in through the garden gate every night that summer just to seal my fate (oh) and i scream, ""for whatever it's worth i love you, ain't that the worst thing you ever heard?"" (yeah, yeah, yeah, yeah)11"
deja vu," car rides to malibu strawberry ice cream, one spoon for two and tradin' jackets laughin' 'bout how small it looks on you (ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha) watching reruns of glee bein' annoying, singin' in harmony i bet she's braggin' to all her friends, sayin' you're so unique, hmm   do you call her, almost say my name? 'cause let's be honest, we kinda do sound the same another actress i hate to think that i was just your type and i bet that she knows billy joel 'cause you played her ""uptown girl"" you're singin' it together now i bet you even tell her how you love her in between the chorus and the verse (ooh; i love you) see olivia rodrigo liveget tickets as low as $23you might also like strawberry ice cream in malibu don't act like we didn't do that shit, too you're tradin' jackets like we used to do (yeah, everything is all reused) play her piano, but she doesn't know (oh, oh) that i was the one who taught you billy joel (oh) a different girl now, but there's nothing new [outro] i know you get dÃ©jÃ  vu i know you get dÃ©jÃ  vu i know you get dÃ©jÃ  vu9"
august," salt air, and the rust on your door i never needed anything more whispers of ""are youâ€…sure?"" ""neverâ€…have i everâ€…before""   your back beneath the sun wishin' i could write my name on it will you call when you're back at school? i remember thinkin' i had you   back when we were still changin' for the better wanting was enough for me, it was enough to live for the hope of it all cancel plans just in case you'd call and say, ""meet me behind the mall"" so much for summer love and saying ""us"" 'cause you weren't mine to lose you weren't mine to lose, no   'cause you were never mine never mine but do you remember? remember when i pulled up and said ""get in the car"" and then canceled my plans just in case you'd call? back when i was livin' for the hope of it all, for the hope of it all ""meet me behind the mall"" (remember when i pulled up and said ""get in the car"") (and then canceled my plans just in case you'd call?) (back when i was livin' for the hope of it all, for the hope of it all) (""meet me behind the mall"") remember when i pulled up and said ""get in the car"" and then canceled my plans just in case you'd call? back when i was livin' for the hope of it all (for the hope of it all) for the hope of it all, for the hope of it all (for the hope of it all, for the hope of it all)12"
Anti-Hero," i have this thing where i get older, but just never wiser midnights become my afternoons when my depression works the graveyard shift, all of the people i've ghosted stand there in the room   it's me, hi i'm the problem, it's me at teatime, everybody agrees i'll stare directly at the sun, but never in the mirror it must be exhausting always rooting for the anti-hero   did you hear my covert narcissism i disguise as altruism like some kind of congressman? (a tale as old as time) i wake up screaming from dreaming one day, i'll watch as you're leaving and life will lose all its meaning (for the last time)   i have this dream my daughter-in-law kills me for the money she thinks i left them in the will the family gathers 'round and reads it and then someone screams out ""she's laughing up at us from hell""   it's me, hi (hi) i'm the problem, it's me (i'm the problem, it's me) at teatime (teatime), everybody agrees (everybody agrees) i'll stare directly at the sun, but never in the mirror it must be exhausting always rooting for the anti-hero7"
Karma," you're talking shit for the hell of it addicted to betrayal, but you're relevant you're terrified to look down 'cause if you dare, you'll see the glare of everyone you burned just to get there it's coming back around   'cause karma is my boyfriend karma is a god karma is the breeze in my hair on the weekend karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that   and i keep my side of the street clean you wouldn't know what i mean   ask me what i learned from all those years ask me what i earned from all those tears ask me why so many fade, but i'm still here (i'm still here, i'm still here)   'cause karma is my boyfriend (karma is my boyfriend) karma is a god karma is the breeze in my hair on the weekend (weekend) karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that  [outro] karma is my boyfriend karma is a god (ah) uh-huh, mm karma's a relaxing thought3"
Is It Over Now? (Taylor's Version) (From The Vault)," lyrics once the flight had flown (uh-huh) with the wilt of the rose (uh-huh) i slept all alone (uh-huh) you still wouldn't go   was it over when she laid down on your couch? was it over when he unbuttoned my blouse? ""come here,"" i whispered in your ear in your dream as you passÐµd out, baby was it over then? and is it over now?   whÐµn you lost control (uh-huh) red blood, white snow (uh-huh) blue dress on a boat (uh-huh) your new girl is my clone see taylor swift liveget tickets as low as $446you might also like let's fast forward to three hundred awkward blind dates later (oh) if she's got blue eyes, i will surmise that you'll probably date her (oh, no) you dream of my mouth before it called you a lying traitor (oh) you search in every model's bed for somethin' greater, baby   uh-huh (is it? is it? is it?) uh-huh (is it? is it?)  (flashin' lights; oh, lord; oh) let's fast forward to three hundred takeout coffees later (oh) (flashin' lights) i was hoping you'd be there and say the one thing (oh, lord) i've been wanting (oh, lord) but no (was it? was it? was it? was it? was it? was it?)"
Lavender Haze," meet me at midnight   i been under scrutiny (yeah, oh, yeah) you handle it beautifully (yeah, oh, yeah) all this shit is new to me (yeah, oh, yeah)   all they keep asking me (all they keep asking me) is if i'm gonna be your bride the only kinda girl they see (only kinda girl they see) is a one-night or a wife see taylor swift liveget tickets as low as $446you might also like i feel the lavender haze creepin' up on me surreal i'm damned if i do give a damn what people say no deal the 195s shit they want from me i just wanna stay in that lavender haze   talk your talk and go viral i just need this love spiral get it off your chest get it off my desk (get it off my desk) talk your talk and go viral i just need this love spiral get it off your chest get it off my desk  get it off your chest get it off my desk that lavender haze i just wanna stay i just wanna stay in that lavender haze4"
Midnight Rain," rain he wanted it comfortable, i wanted that pain he wanted a bride, i was making my own name chasing that fame, he stayed the same all of me changed like midnight   he wanted it comfortable, i wanted that pain he wanted a bride, i was making my own name chasing that fame, he stayed the same all of me changed like midnight   he wanted it comfortable, i wanted that pain he wanted a bride, i was making my own name chasing that fame, he stayed the same all of me changed like midnight rain he wanted it comfortable, i wanted that pain he wanted a bride, i was making my own name chasing that fame, he stayed the same all of me changed like midnight  [outro] i guess sometimes we all get just what we wanted, just what we wanted and he never thinks of me except for when i'm on tv i guess sometimes we all get some kind of haunted, some kind of haunted and i never think of him except on midnights like this (midnights like this, midnights like this)3"
Snow On The Beach," one night, a few moons ago i saw flecks of what could've been lights but it might just have been you passing by unbeknownst to me life is emotionally abusive and time can't stop me quite like you did and my flight was awful, thanks for asking i'm unglued, thanks to you   like snow on the beach like snow on the beach like snow on the beach like snow, ah, ah see taylor swift liveget tickets as low as $6you might also like now, it's like snow at the beach weird, but fuckin' beautiful flying in a dream stars by the pocketful you wanting me tonight feels impossible but it's comin' down no sound, it's all around   i (i) can't (can't) speak, afraid to jinx it i (i) don't (don't) even dare to wish it but your eyes are flying saucers from another planet now, i'm all for you like janet can this be a real thing? can it?   like snow on the beach (snow on the beach; mmm) like snow on the beach (flying in a dream) like snow on the beach (you wanting me; mmm) like snow, ah but it's comin' down no sound, it's all around   like snow on the beach like snow, like snow, uh-huh, yeah"
Solar Power," i hate the winter, can't stand the cold i tend to cancel all the plans (so sorry, i can't make it) but when the heat comes, something takes a hold can i kick it? yeah, i can  forget all of thÐµ tears that you've cried it's ovÐµr (over, over, over, over) it's a new state of mind are you coming, my baby?   my cheeks in high colour, overripe peaches no shirt, no shoes, only my features my boy behind me, he's taking pictures (he's taking pictures) lead the boys and girls onto the beaches come one, come all, i'll tell you my secrets i'm kinda like a prettier jesus   that solar-olar-olar power solar-olar-olar power solar-olar-olar power solar-olar-olar power solar-olar-olar power solar-olar-olar power10"
